"Company","Vessel Name","IMO"
"Alias Carriers Corp.","Alias","9337004"
"De Poli Shipmanagement","Aigran D","9138408"
"LSC SIA","Ainazi","9323405"
"Tempest Maritime Inc.","Aiolos","9315769"
"Asahi Tanker Co., Ltd.","Akatsuki Maru","9473729"
"Laredo Maritime Inc.","Akeraios","9328297"
"Rema Maritime Limited","Aktea R","9554171"
"Centurion Navigation Limited","Aktoras","9312925"
"Al Agaila Oil Company Limited","Al Agaila","9415404"
"Red Sea Marine Services Co., Ltd.","Al Habibah","9290294"
"Red Sea Marine Management (DMCC)","Al Shaffiah","9358620"
"Madu Shipping Pte. Ltd.","Alam Madu","9717060"
"Manis Shipping Pte. Ltd.","Alam Manis","9397834"
"Molek Shipping Pte. Ltd.","Alam Molek","9717072"
"Brilliant Star Shipping Pte. Ltd.","Alam Mulia","9748497"
"PCL (Shipping) Pte. Ltd.","Alam Mutiara","9615169"
"Padu Shipping Pte. Ltd.","Alam Padu","9285158"
"Malaysian Bulk Carriers Berhad","Alam Permai","9285160"
"Pintar Shipping Pte. Ltd.","Alam Pintar","9296858"
"Sejahtera Shipping Pte. Ltd.","Alam Sejahtera","9757539"
"Bright Star Shipmanagement, Inc.","Alam Sinar","9674816"
"Worldwide Overseas SA","Alaska","9302607"
"Rainbow Maritime Co., Ltd.","Alaska","9773480"
"Alaska Tanker Company, LLC","Alaskan Explorer","9244661"
"Alaska Tanker Company, LLC","Alaskan Legend","9271432"
"Alaska Tanker Company, LLC","Alaskan Navigator","9244673"
"UCC 5 Limited","Alba","9297345"
"Pacific Basin Chartering (No. 8) Limited","Albany Sound","9260859"
"Wagenborg Shipping BV","Albanyborg","9466300"
"Neom Maritime (Singapore) Pte. Ltd.","Albatross","9427574"
"Victoria Ship Management Inc.","Albatross Trader","9724063"
"Sumida Shipping Inc.","Alberta","9486922"
"Marfin Management S.A.M.","Alberto Topic","9728473"
""K" Line RoRo Bulk Ship Management Co., Ltd.","Albion Bay","9496989"
"Euronav NV","Alboran","9728693"
"Arab Maritime Petroleum Transport Company","Album","9240407"
"Arab Maritime Petroleum Transport Company","Alburag","9381732"
"Super-Eco Bulkers Management Inc.","Alcor","9767314"
"Orama Maritime Company","Alcyone |","9237113"
"Arab Maritime Petroleum Transport Company","Aldana","9809368"
"Super-Eco Tankers Management Inc.","Aldebaran","9723007"
"Soleil Marine S.A.","Alegre Ill","9369980"
"Riverton Shipping SA","Alegria |","9543536"
